data_extracao;codigo;nome;ei_creche_parcial;ei_creche_integral;ei_creche;ei_pre_parcial;ei_pre_integral;ei_pre;ef_ciclos_parcial;ef_ciclos_integral;ef_ciclos;ef_eja;ensino_medio;normal_magisterio;profissionalizante;total
2022-05-01 01:40:29.778;5043;5043 IEI LUPICINIO RODRIGUES                            ;0;50;50;0;42;42;0;0;0;0;0;0;0;92
2022-05-01 01:40:29.779;5044;5044 EEI CASA DO PEQUENINO                              ;0;47;47;0;31;31;0;0;0;0;0;0;0;78
2022-05-01 01:40:29.780;5045;5045 EEI SOMAI                                          ;0;58;58;0;62;62;0;0;0;0;0;0;0;120
2022-05-01 01:40:29.781;5046;5046 IEI NSA SRA DE FÁTIMA NOVO MUNDO                   ;0;61;61;0;48;48;0;0;0;0;0;0;0;109
2022-05-01 01:40:29.782;5048;5048 IEI HELOISA BECKER                                 ;0;40;40;0;41;41;0;0;0;0;0;0;0;81
2022-05-01 01:40:29.783;5049;5049 IEI BRINCANDO DE CIRANDA                           ;0;10;10;0;26;26;0;0;0;0;0;0;0;36
2022-05-01 01:40:29.784;5050;5050 EEI NSA SRA APARECIDA SÃO PEDRO                    ;0;25;25;0;32;32;0;0;0;0;0;0;0;57
2022-05-01 01:40:29.785;5051;5051 EEI TURMA DO BARULHO                               ;0;58;58;0;46;46;0;0;0;0;0;0;0;104
2022-05-01 01:40:29.786;5052;5052 EEI SÃO PEDRO                                      ;0;20;20;0;25;25;0;0;0;0;0;0;0;45
2022-05-01 01:40:29.788;5053;5053 IEI BALÃO MÁGICO                                   ;0;49;49;0;37;37;0;0;0;0;0;0;0;86
2022-05-01 01:40:29.789;5054;5054 EEI CASA DA CRIANÇA ALGODÃO DOCE                   ;0;63;63;0;76;76;0;0;0;0;0;0;0;139
2022-05-01 01:40:29.790;5055;5055 IEI VOVÓ IDA                                       ;0;58;58;0;46;46;0;0;0;0;0;0;0;104
2022-05-01 01:40:29.791;5056;5056 EEI PAINEIRAS                                      ;0;31;31;0;22;22;0;0;0;0;0;0;0;53
2022-05-01 01:40:29.792;5057;5057 EEI CAMPO DA TUCA                                  ;0;52;52;0;56;56;0;0;0;0;0;0;0;108
2022-05-01 01:40:29.793;5058;5058 EEI TOPO GIGIO                                     ;0;68;68;0;90;90;0;0;0;0;0;0;0;158
2022-05-01 01:40:29.794;5059;5059 EEI ACOMUR                                         ;0;36;36;0;41;41;0;0;0;0;0;0;0;77
2022-05-01 01:40:29.795;5060;5060 IEI MURIALDO                                       ;0;51;51;0;50;50;0;0;0;0;0;0;0;101
2022-05-01 01:40:29.796;5061;5061 IEI VÓ BELINHA                                     ;0;62;62;0;47;47;0;0;0;0;0;0;0;109
2022-05-01 01:40:29.798;5062;5062 IEI ESTRELA MAGICA                                 ;0;52;52;0;46;46;0;0;0;0;0;0;0;98
2022-05-01 01:40:29.799;5063;5063 IEI NOSSA SENHORA APARECIDA -VILA PINHAL           ;0;35;35;0;38;38;0;0;0;0;0;0;0;73
2022-05-01 01:40:30.072;5064;5064 EEI RECREIO DA DIVISA                              ;0;12;12;0;46;46;0;0;0;0;0;0;0;58
2022-05-01 01:40:30.073;5065;5065 IEI ARCO IRIS ENCANTADO                            ;0;79;79;0;77;77;0;0;0;0;0;0;0;156
2022-05-01 01:40:30.074;5066;5066 EEI MEU NENE                                       ;0;19;19;0;32;32;0;0;0;0;0;0;0;51
2022-05-01 01:40:30.075;5067;5067 IEI NOSSA SENHORA DA GLORIA                        ;0;43;43;0;44;44;0;0;0;0;0;0;0;87
2022-05-01 01:40:30.076;5069;5069 IEI CRECHE LAR DA CRIANCA                          ;0;10;10;0;33;33;0;0;0;0;0;0;0;43
2022-05-01 01:40:30.078;5070;5070 IEI CENEAMM 1 DE MAIO                              ;0;53;53;0;64;64;0;0;0;0;0;0;0;117
2022-05-01 01:40:30.079;5071;5071 EEI CRIANÇA FELIZ                                  ;0;47;47;0;39;39;0;0;0;0;0;0;0;86
2022-05-01 01:40:30.080;5072;5072 IEI AMAVTRON                                       ;0;64;64;0;54;54;0;0;0;0;0;0;0;118
2022-05-01 01:40:30.081;5073;5073 EEI MATO GROSSO                                    ;0;57;57;0;46;46;0;0;0;0;0;0;0;103
